0-BDX,2-BDX,53-BDX,54-BDX,70-BDX,72-BDX,,,,,,,,,,,0.20556           0     0.21829           0     0.11415
2.051965403,-2667.791695,7551.965567,389.2615416,-1113.182745,-143.7029644,,0.192270117,0.450946095,0.21828273,0.470812458,0.520072627,0.280574281,0.296743458,,,0.192270117
-2.941781243,-2184.928725,7083.897378,240.7346288,-556.7344327,-222.6092003,,0.185673201,0.348502868,0.227769046,0.466828129,0.481928201,0.32277026,0.294812867,,,0.185673201
-2.134824789,-1761.345185,5240.44398,9.584237288,-111.8721755,-184.3207491,,0.174532258,0.365057016,0.23609076,0.451136134,0.422564555,0.356504567,0.295749667,,,0.174532258
0.777431302,-1155.684451,7012.358265,-51.60353741,25.72567563,145.016905,,0.174467741,0.424799917,0.247989558,0.466219168,0.406850416,0.366938737,0.303807538,,,0.174467741
10.42305825,49.5095886,13963.13694,23.77414981,-86.93644035,736.7469856,,0.185213209,0.622673221,0.271666776,0.525386157,0.426208784,0.358395467,0.318285337,,,0.185213209
14.07644051,1427.584035,21055.49313,114.3183943,-175.0630881,1302.733856,,0.197435194,0.697619808,0.298740399,0.585758293,0.449462201,0.351712743,0.332133281,,,0.197435194
16.36568216,1936.268017,21559.40306,222.2762828,551.1854306,1520.931059,,0.206151092,0.744582002,0.308733994,0.590047717,0.47718776,0.406784825,0.33747189,,,0.206151092
16.87347008,1180.986115,14502.19263,287.5675215,1714.088453,1328.522538,,0.206223847,0.754998917,0.293895741,0.529974751,0.493955744,0.494968813,0.33276425,,,0.206223847
16.74917165,-12.74881725,5841.7342,179.554219,1557.733448,979.6699315,,0.194373407,0.752449022,0.270443649,0.456254486,0.466215953,0.483112271,0.324228909,,,0.194373407
15.57550033,-407.8559837,2069.599316,38.33775447,398.9254117,814.6655778,,0.184400238,0.728371974,0.262681381,0.42414501,0.429948984,0.39523881,0.320191764,,,0.184400238
10.83493431,475.6804837,3824.549326,220.7887687,303.1135751,965.0778575,,0.198616783,0.631122571,0.280039321,0.439083639,0.476805739,0.387973312,0.323871886,,,0.198616783
9.452554869,1997.079217,6479.532762,722.0675089,787.6623099,1243.704634,,0.233641136,0.602764022,0.30992869,0.461683607,0.605543283,0.424717081,0.330689019,,,0.233641136
8.91086005,2964.51475,5933.148144,1034.126367,375.3593649,1292.81986,,0.255179517,0.591651531,0.328934909,0.457032627,0.685685702,0.393451776,0.331890716,,,0.255179517
12.92050423,2538.218974,2252.214511,797.3601949,157.5034775,882.3587237,,0.239038261,0.673906582,0.32055991,0.425699482,0.624879821,0.376931567,0.321848005,,,0.239038261
11.27918582,826.837953,-2225.17827,261.1977142,631.0852355,136.0678714,,0.199984929,0.640236081,0.286938153,0.387586651,0.487183495,0.4128437,0.303588582,,,0.199984929
7.697572023,-1214.975785,-6388.464884,-121.6239707,247.4429235,-535.8069207,,0.168401421,0.566761774,0.246824722,0.352147581,0.388867889,0.383751756,0.28714989,,,0.168401421
-2.652924625,-2547.313372,-10578.39211,-246.7693547,-425.6001623,-799.9256309,,0.155267458,0.35442856,0.220649645,0.316481739,0.356728266,0.33271429,0.280687724,,,0.155267458
-6.491628915,-2860.92908,-14355.91166,-268.1245716,45.9733483,-723.5196539,,0.153017146,0.275680221,0.214488357,0.284326427,0.351243856,0.368474136,0.282557142,,,0.153017146
-8.647122698,-2686.778382,-16212.01613,-257.3303642,236.6267379,-677.4544009,,0.154454229,0.231461771,0.217909718,0.268526742,0.354016006,0.382931555,0.283684216,,,0.154454229
-9.046258447,-2683.863577,-16087.52713,-243.2510018,-489.6037749,-888.5303147,,0.154665788,0.223273779,0.217966982,0.269586427,0.357631844,0.327860839,0.278519843,,,0.154665788
-7.888111075,-2872.81894,-16605.89233,-349.3837229,-148.0556016,-1169.968983,,0.147166785,0.247032364,0.214254769,0.265173957,0.330375021,0.353760745,0.271633911,,,0.147166785
-5.099534692,-2664.349382,-20250.88204,-583.5629783,597.3459281,-1174.528864,,0.134867648,0.304238062,0.218350358,0.234146776,0.270233507,0.410285217,0.271522345,,,0.134867648
5.956564591,-1638.269337,-25696.85748,-679.2583895,-807.2645853,-847.9349255,,0.134558773,0.531046222,0.238508705,0.187789097,0.245657177,0.303772332,0.279513086,,,0.134558773
7.030239833,-168.9427359,-28392.12062,-454.91477,-2595.071109,-496.8684616,,0.154049931,0.55307192,0.267375066,0.164846257,0.303272719,0.168201347,0.288102593,,,0.154049931
4.758576159,835.9841364,-25193.69767,-173.0383385,-1470.457018,-408.5622288,,0.174157122,0.506470325,0.287117839,0.192072135,0.375663739,0.25348185,0.290263173,,,0.174157122
-9.610977057,819.9426649,-17488.91111,-212.8878877,920.8108021,-547.3847851,,0.171470622,0.211688971,0.286802689,0.257657452,0.365429646,0.434813851,0.286866616,,,0.171470622
-12.00690362,137.0089373,-9122.889466,-495.6193635,1432.243052,-691.7489297,,0.15245928,0.16253821,0.273385787,0.328871388,0.292819035,0.473596221,0.283334473,,,0.15245928
-11.1817698,-295.6626998,-1965.674613,-575.5492695,1096.972144,-735.3918878,,0.146109137,0.179465255,0.264885528,0.38979562,0.272291574,0.448172325,0.282266665,,,0.146109137
-1.405682176,128.648974,5418.369105,-253.3997838,2026.069203,-706.5778474,,0.165963141,0.380014868,0.273221547,0.452650683,0.355025451,0.518626595,0.282971655,,,0.165963141
1.566056944,1193.373597,14660.39569,229.4396613,3355.724878,-564.4336768,,0.197728344,0.440978022,0.294139105,0.53132142,0.479027446,0.619455587,0.286449482,,,0.197728344
3.463318866,2157.218761,23987.7005,596.3409414,3654.803157,-195.7443386,,0.223219276,0.479899026,0.313074788,0.61071807,0.573254402,0.642134964,0.295470167,,,0.223219276
3.080159846,2474.154816,28555.24646,804.5022413,3181.106043,319.4749853,,0.237607856,0.472038786,0.319301307,0.649598309,0.626714029,0.606214083,0.308075986,,,0.237607856
3.734696659,2191.09999,24916.62471,865.6002908,2478.874332,621.080499,,0.240732322,0.485466152,0.313740418,0.618625335,0.642405125,0.552963217,0.315455337,,,0.240732322
4.220957504,1710.662719,15362.05378,717.3333782,1868.120321,430.999129,,0.229949262,0.495441454,0.304301757,0.537294132,0.604327471,0.506649189,0.310804636,,,0.229949262
5.173942833,1292.633044,7162.257869,395.6491283,1750.486118,-52.94972956,,0.208875564,0.514991282,0.296089154,0.467495156,0.521713076,0.497728881,0.298963908,,,0.208875564
4.849007195,881.1708133,6214.572359,101.4919425,1827.235453,-321.2139035,,0.189973964,0.508325455,0.288005576,0.459428189,0.446168133,0.503548852,0.292400316,,,0.189973964
3.881117673,413.3821696,11080.54368,-19.78646248,1783.804417,-152.7623384,,0.181756329,0.488469877,0.27881541,0.50084871,0.415021622,0.500255437,0.296521803,,,0.181756329
-1.169344435,193.4090877,14649.22826,-3.323985513,2169.190262,131.5973089,,0.182585072,0.384863172,0.274493823,0.53122636,0.419249487,0.529479594,0.303479202,,,0.182585072
-0.842016453,818.9941407,12719.91869,67.58648452,2552.311603,160.1737461,,0.189166565,0.391578077,0.286784054,0.514803532,0.437460592,0.558532032,0.304178378,,,0.189166565
1.423444976,2622.974973,9501.033924,144.9574665,1781.439534,115.8374683,,0.200665468,0.438052437,0.322225025,0.487403477,0.457330875,0.500076106,0.303093607,,,0.200665468
9.796252135,5148.411054,12376.8493,183.9439936,1001.678571,555.9712198,,0.214279125,0.609814731,0.371839691,0.511883229,0.467343327,0.440946127,0.313862315,,,0.214279125
12.8122634,7238.397991,21773.1775,216.7965176,1827.802971,1545.534633,,0.227324875,0.671686097,0.412899532,0.591867425,0.475780456,0.503591887,0.338073863,,,0.227324875
14.64064938,7797.475019,29225.50135,364.3616284,3070.552822,2248.154024,,0.239817638,0.709194159,0.423883148,0.655303708,0.513677874,0.597830732,0.35526478,,,0.239817638
15.15426274,6645.964722,26688.13228,544.3671925,3329.755061,1736.079186,,0.243828442,0.719730579,0.4012606,0.633704907,0.559906593,0.617486273,0.342735897,,,0.243828442
14.7037119,4734.986843,15546.47798,402.3128331,3014.394291,243.3438627,,0.223978351,0.710487843,0.363717568,0.538864002,0.523424437,0.59357218,0.306213293,,,0.223978351
13.161805,3482.102646,4560.595979,-65.71685966,3071.911705,-706.2942243,,0.19002828,0.678856699,0.33910343,0.445349076,0.403225857,0.597933778,0.282978595,,,0.19002828
8.710957023,3713.27719,385.9534241,-138.2925815,4452.012246,265.8173596,,0.189608211,0.58755066,0.34364508,0.409813341,0.384587085,0.70258805,0.30676315,,,0.189608211
6.350226537,5036.583769,2272.188077,702.441256,5343.704805,2829.695909,,0.2492452,0.539121922,0.369642735,0.425869502,0.600502902,0.770205903,0.369493306,,,0.2492452
4.261982103,6139.392223,5078.587543,1696.742538,2820.563229,5033.057537,,0.31559396,0.496283045,0.391308487,0.449758366,0.855857647,0.578873796,0.423402732,,,0.31559396
4.103136685,5774.399375,4638.556519,1575.126576,651.7056508,5072.031867,,0.307410919,0.493024442,0.384137845,0.446012698,0.824624445,0.414407364,0.424356313,,,0.307410919
1.317616653,3676.145222,-259.7888289,362.2844961,2476.957434,2914.257465,,0.224917858,0.435881443,0.342915587,0.404316601,0.513144428,0.552817857,0.371562265,,,0.224917858
-2.437712354,735.3461803,-8597.964613,-615.1575373,2655.406917,134.1848432,,0.150480956,0.35884349,0.285140708,0.333339696,0.262119447,0.566349843,0.303542511,,,0.150480956
-10.31983557,-1647.91248,-17871.48687,-651.4903537,-140.9461994,-1686.452361,,0.133734638,0.197147234,0.238319256,0.254400859,0.252788516,0.354299858,0.258997165,,,0.133734638
-13.64687299,-2503.766184,-24933.24716,-454.3084154,345.5632812,-2206.595669,,0.139879818,0.128895384,0.221505172,0.194289163,0.303428442,0.391192312,0.246270871,,,0.139879818
-15.57585709,-1839.799128,-27827.21575,-680.9857394,1878.181253,-2115.69677,,0.130107346,0.089323621,0.234549455,0.169654886,0.245213561,0.507412118,0.248494885,,,0.130107346
-14.95915239,-475.4928304,-27258.1806,-901.7955951,24.61823788,-2098.21776,,0.123287024,0.101974888,0.261352589,0.174498674,0.188505554,0.366854759,0.248922543,,,0.123287024
-14.95285031,607.6455272,-25846.03078,-660.3950193,-1546.202221,-2265.5718,,0.140726922,0.10210417,0.282631904,0.186519292,0.250501635,0.247738023,0.244827908,,,0.140726922
-14.40936152,874.2458331,-25899.84562,-444.6445233,-1919.299754,-2421.18535,,0.153464114,0.113253464,0.287869528,0.186061204,0.305910306,0.2194457,0.241020527,,,0.153464114
-13.16827982,411.0987076,-28070.2408,-733.7507569,-2763.570619,-2487.756571,,0.135200257,0.138713388,0.278770549,0.167586188,0.23166254,0.155423877,0.239391736,,,0.135200257
-11.67107311,-328.6514791,-31617.22742,-1006.463418,-2302.821486,-2535.434127,,0.116791164,0.169427539,0.264237431,0.137393238,0.161624944,0.1903629,0.238225214,,,0.116791164
-9.75737929,-910.8879455,-34977.58808,-656.6937855,-1974.89834,-2595.478942,,0.133880532,0.208685632,0.252798826,0.1087889,0.251452179,0.215229609,0.236756104,,,0.133880532
-6.911795908,-1131.560229,-35785.52285,-138.8937537,-3680.660801,-2638.865053,,0.161896506,0.267060789,0.248463502,0.101911531,0.384432693,0.085880099,0.23569458,,,0.161896506
