0-BDX,zhijiejiahe-BDX,julijiahe-BDX,IHGS-BDX
-12.00690362,-8741.00577,-4660.059179,0.15245928
-11.1817698,-2475.306326,-1659.727549,0.146109137
-1.405682176,6613.109651,2864.362012,0.165963141
1.566056944,18874.50015,9195.005651,0.197728344
3.463318866,30200.31902,15265.0681,0.223219276
3.080159846,35334.48455,18109.04317,0.237607856
3.734696659,31073.27982,16012.47132,0.240732322
4.220957504,20089.16932,10432.88594,0.229949262
5.173942833,10548.07643,5482.733207,0.208875564
4.849007195,8703.256664,4335.404875,0.189973964
3.881117673,13105.18147,6313.330714,0.181756329
-1.169344435,17140.10093,8124.457445,0.182585072
-0.842016453,16318.98467,7930.911504,0.189166565
1.423444976,14166.24337,7949.249286,0.200665468
9.796252135,19266.85413,11957.21295,0.214279125
12.8122634,32601.70962,19463.10306,0.227324875
14.64064938,42706.04485,24484.12173,0.239817638
15.15426274,38944.29844,21962.69282,0.243828442
14.7037119,23941.51581,13584.65275,0.223978351
13.161805,10342.59925,6144.373019,0.19002828
8.710957023,8678.767639,5083.019353,0.189608211
6.350226537,16184.61382,9274.672591,0.2492452
4.261982103,20768.34307,12748.72684,0.31559396
4.103136685,17711.81999,11580.18327,0.307410919
1.317616653,9169.855789,5803.761147,0.224917858
-2.437712354,-5688.184209,-3140.270744,0.150480956
-10.31983557,-21998.28827,-11787.86382,0.133734638
-13.64687299,-29752.35415,-16214.45098,0.139879818
-15.57585709,-30585.51613,-16682.20294,0.130107346
-14.95915239,-30709.06855,-15598.43525,0.123287024
-14.95285031,-29710.55429,-14164.90383,0.140726922
-14.40936152,-29810.72942,-13988.41685,0.153464114
-13.16827982,-33644.22004,-15925.66801,0.135200257
-11.67107311,-37790.59793,-18483.91933,0.116791164
-9.75737929,-41115.54709,-20519.49293,0.133880532
-6.911795908,-43375.50268,-21333.36626,0.161896506
-4.552274693,-39909.9646,-19242.12659,0.158422044
-2.163454334,-27756.15755,-13082.98368,0.136128573
2.209019153,-7812.899724,-3302.647272,0.137867139
3.189851105,13896.5293,7267.112752,0.165513223
2.733358175,26841.07679,14076.33606,0.186915141
-1.190358086,27594.4566,14962.40676,0.192686657
-3.000101801,20421.88101,11108.67467,0.195355874
-4.725804165,8412.971062,4719.085324,0.189622587
-7.444325058,-2167.814861,-672.2159521,0.16381275
-8.195501534,-3131.834904,-1584.051435,0.138653839
-8.056220966,3319.880552,1445.524558,0.146594204
-8.013012687,9112.099626,5081.288947,0.179961543
-5.354269223,12394.02471,7576.049487,0.203005872
-1.066541587,16258.18689,9845.211432,0.207887887
9.17274571,24438.44304,14017.21392,0.216270316
13.4750488,37434.59615,20357.94889,0.233059906
16.16292774,46496.89555,24459.38915,0.241926812
17.48189948,39541.15091,20562.02204,0.240278797
16.75525373,17773.5283,9509.5989,0.238246089
14.22849857,371.1131933,1136.900571,0.235298998
5.818250429,8144.464765,5827.991713,0.2379903
2.752235214,38998.07028,21941.69262,0.273693937
0.947067219,62194.41983,33743.51404,0.333474357
3.689731738,49195.70972,26971.16774,0.339302923
1.939438041,8996.000413,5682.451016,0.24220642
