0-QSX,2-QSX,53-QSX,54-QSX,70-QSX,72-QSX
172.1541719,27491.9808,142767.5822,3579.283886,23543.07515,18667.88412
172.8085155,27483.89877,142819.2577,3575.688472,23616.85801,18535.65553
173.4562561,27473.2121,142878.7732,3572.604692,23690.77271,18369.80636
174.0969454,27459.97915,142946.9762,3570.040416,23764.69452,18172.14478
174.7301489,27444.25926,143024.6266,3568.002393,23838.49793,17944.72897
175.355447,27426.11258,143112.3937,3566.496244,23912.05692,17689.84431
175.9724359,27405.60007,143210.8536,3565.526459,23985.24517,17409.97835
176.5807284,27382.78338,143320.4872,3565.096389,24057.93635,17107.79381
177.179955,27357.72482,143441.6787,3565.208253,24130.00433,16786.10008
177.7697642,27330.48725,143574.7149,3565.863133,24201.32347,16447.82333
178.3498236,27301.13401,143719.7846,3567.060986,24271.76884,16095.97569
178.9198207,27269.72887,143876.9787,3568.800642,24341.21646,15733.62391
179.4794633,27236.33593,144046.2912,3571.079822,24409.54356,15363.85757
180.0284802,27201.01958,144227.6199,3573.895142,24476.62881,14989.75757
180.5666217,27163.84439,144420.7684,3577.242132,24542.35257,14614.36492
181.0936605,27124.87509,144625.4481,3581.115251,24606.59711,14240.65039
181.6093916,27084.17645,144841.2807,3585.507902,24669.24683,13871.48515
182.1136332,27041.81325,145067.8015,3590.412456,24730.18851,13509.613
182.6062268,26997.85018,145304.4623,3595.820274,24789.31152,13157.6241
183.0870376,26952.35181,145550.6358,3601.721729,24846.50802,12817.93092
183.5559548,26905.3825,145805.6194,3608.106237,24901.6732,12492.74621
184.0128916,26857.00634,146068.6396,3614.962278,24954.70542,12184.06363
184.4577859,26807.28709,146338.8571,3622.277436,25005.50649,11893.6409
184.8905995,26756.28813,146615.3718,3630.038422,25053.98179,11622.98587
185.3113192,26704.07238,146897.2276,3638.231112,25100.04047,11373.3455
185.7199558,26650.70225,147183.4187,3646.840585,25143.59563,11145.69792
186.1165446,26596.23961,147472.8943,3655.851152,25184.5645,10940.74757
186.5011454,26540.74568,147764.5653,3665.246402,25222.86854,10758.92349
186.8738417,26484.28103,148057.3094,3675.009236,25258.43365,10600.38076
187.2347409,26426.90549,148349.9774,3685.121912,25291.19028,10465.00499
187.5839741,26368.67814,148641.3992,3695.566084,25321.07355,10352.4198
187.9216954,26309.65721,148930.3894,3706.322846,25348.02339,10261.99714
188.2480818,26249.9001,149215.7538,3717.372778,25371.98462,10192.87046
188.5633325,26189.46326,149496.2945,3728.695986,25392.9071,10143.95021
188.8676685,26128.40221,149770.8162,3740.272151,25410.74576,10113.94189
189.1613322,26066.77147,150038.1314,3752.080576,25425.46072,10101.36606
189.4445864,26004.62454,150297.0661,3764.100231,25437.01735,10104.5802
189.7177141,25942.01384,150546.4649,3776.309797,25445.38632,10121.80222
189.9810175,25878.99069,150785.196,3788.687721,25450.54364,10151.13511
190.2348173,25815.60528,151012.156,3801.212256,25452.47073,10190.59267
190.4794519,25751.90663,151226.2742,3813.861514,25451.15441,10238.12584
190.7152766,25687.94258,151426.5172,3826.613511,25446.58694,10291.64933
190.9426627,25623.75974,151611.8926,3839.446215,25438.76601,10349.0683
191.1619967,25559.40348,151781.4523,3852.337593,25427.69474,10408.30472
191.3736792,25494.91793,151934.2963,3865.265659,25413.38166,10467.32313
191.5781238,25430.3459,152069.5752,3878.20852,25395.84069,10524.15544
